PC1,PC2,Label
10.855084,4.0630455,0
9.397893,4.5006857,0
10.02178,4.726109,0
11.734698,4.5128717,0
10.377473,4.3021297,0
10.287771,2.1761866,0
9.805464,2.1721635,0
9.704434,2.117561,0
8.902378,2.7345448,0
8.836483,2.9308584,0
11.533661,4.275168,0
8.839463,3.8359058,0
10.6493025,4.564664,0
9.076749,3.186139,0
11.409366,2.8250887,0
11.186976,2.409104,0
11.469403,4.4020524,0
9.037266,3.6680324,0
8.88782,3.494635,0
10.743603,2.034034,0
11.38832,2.5397966,0
8.775185,3.4432087,0
11.160151,4.5785284,0
11.713955,3.223859,0
11.066947,2.1230352,0
9.925462,2.49799,0
9.678081,2.4152935,0
11.918878,2.7136452,0
11.828774,2.8760147,0
10.806511,4.918054,0
9.137116,4.0585704,0
11.817397,4.144129,0
10.840477,4.675801,0
10.643189,4.0457206,0
11.451476,5.0773263,0
8.989655,4.569616,0
11.718797,4.8240523,0
8.78747,4.292952,0
9.135359,2.7150404,0
9.852693,3.043047,0
9.996901,1.9672524,1
7.8711433,6.00786,1
7.5123386,6.2462807,1
9.233855,5.9495273,1
10.879998,2.774328,1
10.242846,3.5433552,1
10.457293,2.7707548,1
11.069291,3.682287,1
10.336551,3.1250622,1
10.676153,2.570695,1
8.173805,6.577649,1
8.81652,6.5246906,1
8.633852,6.4815054,1
8.437816,6.7083187,1
10.321403,4.8515105,1
7.4356594,6.006691,1
9.001786,6.9600887,1
8.995928,6.0520277,1
7.5832667,6.180813,1
9.306421,2.7847624,1
8.176342,6.001591,1
11.330097,3.8569376,1
8.907961,4.367362,1
11.467844,5.0312476,1
9.162949,6.3659563,1
7.9237375,6.489639,1
9.403322,5.9443617,1
7.411165,6.134691,1
9.852117,3.364213,1
9.093251,6.6340756,1
8.556402,6.543772,1
8.374443,6.8756666,1
7.155508,6.104802,1
7.3928304,5.6412606,1
9.860883,5.34802,1
10.846504,3.2512314,1
10.353377,3.4770567,1
10.507115,3.6308975,1
10.83313,3.4969735,1
8.006582,6.3429837,1
